Chargement MNIST…
  train: (60000, 28, 28, 1) | test: (10000, 28, 28, 1)
Modèle fp32 : 6,772,500 paramètres | latent_dim=2
Cible PyTorch à battre : MSE = 0.03087685
E 65/10000 | train 0.034465 | test 0.033935 | epoch 0.17s | total 12.0s | lr 0.00150
E 66/10000 | train 0.034491 | test 0.033600 | epoch 0.17s | total 12.2s | lr 0.00150
E 67/10000 | train 0.034072 | test 0.033420 | epoch 0.17s | total 12.4s | lr 0.00150
E 68/10000 | train 0.034125 | test 0.033366 | epoch 0.17s | total 12.6s | lr 0.00150
E 69/10000 | train 0.033922 | test 0.033317 | epoch 0.17s | total 12.8s | lr 0.00150
E 70/10000 | train 0.034054 | test 0.033569 | epoch 0.17s | total 12.9s | lr 0.00150
E 71/10000 | train 0.034100 | test 0.033822 | epoch 0.17s | total 13.1s | lr 0.00150
E 72/10000 | train 0.034001 | test 0.033356 | epoch 0.17s | total 13.3s | lr 0.00150
E 73/10000 | train 0.033964 | test 0.033156 | epoch 0.17s | total 13.5s | lr 0.00150
E 74/10000 | train 0.033930 | test 0.033302 | epoch 0.17s | total 13.7s | lr 0.00150
E 75/10000 | train 0.033886 | test 0.033240 | epoch 0.17s | total 13.9s | lr 0.00150
E 76/10000 | train 0.033780 | test 0.033410 | epoch 0.17s | total 14.0s | lr 0.00150
E 77/10000 | train 0.033886 | test 0.033207 | epoch 0.17s | total 14.2s | lr 0.00150
E 78/10000 | train 0.033705 | test 0.033094 | epoch 0.17s | total 14.4s | lr 0.00150
E 79/10000 | train 0.033793 | test 0.033669 | epoch 0.17s | total 14.6s | lr 0.00150
E 80/10000 | train 0.034419 | test 0.034782 | epoch 0.17s | total 14.8s | lr 0.00150
E 81/10000 | train 0.035358 | test 0.034868 | epoch 0.18s | total 14.9s | lr 0.00150
E 82/10000 | train 0.034965 | test 0.034029 | epoch 0.18s | total 15.1s | lr 0.00150
E 83/10000 | train 0.034388 | test 0.033327 | epoch 0.17s | total 15.3s | lr 0.00150
E 84/10000 | train 0.034202 | test 0.033731 | epoch 0.17s | total 15.5s | lr 0.00150
E 85/10000 | train 0.034487 | test 0.033531 | epoch 0.17s | total 15.7s | lr 0.00150
E 86/10000 | train 0.034268 | test 0.034077 | epoch 0.17s | total 15.8s | lr 0.00150
E 87/10000 | train 0.034491 | test 0.033642 | epoch 0.17s | total 16.0s | lr 0.00150
E 88/10000 | train 0.033963 | test 0.033028 | epoch 0.17s | total 16.2s | lr 0.00150
E 89/10000 | train 0.034088 | test 0.034073 | epoch 0.17s | total 16.4s | lr 0.00150
E 90/10000 | train 0.035036 | test 0.034100 | epoch 0.17s | total 16.6s | lr 0.00150
E 91/10000 | train 0.034722 | test 0.034037 | epoch 0.17s | total 16.7s | lr 0.00150
E 92/10000 | train 0.034217 | test 0.033564 | epoch 0.17s | total 16.9s | lr 0.00150
E 93/10000 | train 0.033944 | test 0.033641 | epoch 0.17s | total 17.1s | lr 0.00150
E 94/10000 | train 0.033832 | test 0.033252 | epoch 0.17s | total 17.3s | lr 0.00150
E 95/10000 | train 0.034216 | test 0.033542 | epoch 0.17s | total 17.5s | lr 0.00150
E 96/10000 | train 0.033863 | test 0.033101 | epoch 0.17s | total 17.6s | lr 0.00150
E 97/10000 | train 0.033752 | test 0.032797 | epoch 0.17s | total 17.8s | lr 0.00150
E 98/10000 | train 0.033467 | test 0.032984 | epoch 0.17s | total 18.0s | lr 0.00149
E 99/10000 | train 0.033582 | test 0.032940 | epoch 0.17s | total 18.2s | lr 0.00149
E100/10000 | train 0.033957 | test 0.032867 | epoch 0.17s | total 18.4s | lr 0.00149
E101/10000 | train 0.033708 | test 0.033113 | epoch 0.17s | total 18.5s | lr 0.00149
E102/10000 | train 0.033399 | test 0.032700 | epoch 0.17s | total 18.7s | lr 0.00149
E103/10000 | train 0.033170 | test 0.032872 | epoch 0.17s | total 18.9s | lr 0.00149
E104/10000 | train 0.033351 | test 0.032912 | epoch 0.17s | total 19.1s | lr 0.00149
E105/10000 | train 0.033606 | test 0.033363 | epoch 0.17s | total 19.3s | lr 0.00149
E106/10000 | train 0.034545 | test 0.033212 | epoch 0.18s | total 19.5s | lr 0.00149
E107/10000 | train 0.034101 | test 0.033040 | epoch 0.17s | total 19.6s | lr 0.00149
E108/10000 | train 0.033441 | test 0.032658 | epoch 0.17s | total 19.8s | lr 0.00149
E109/10000 | train 0.033335 | test 0.032653 | epoch 0.17s | total 20.0s | lr 0.00149
E110/10000 | train 0.033258 | test 0.033076 | epoch 0.17s | total 20.2s | lr 0.00149
E111/10000 | train 0.033729 | test 0.032977 | epoch 0.17s | total 20.4s | lr 0.00149
E112/10000 | train 0.033538 | test 0.033317 | epoch 0.17s | total 20.5s | lr 0.00149
E113/10000 | train 0.033497 | test 0.032932 | epoch 0.17s | total 20.7s | lr 0.00149
E114/10000 | train 0.033608 | test 0.033258 | epoch 0.17s | total 20.9s | lr 0.00149
E115/10000 | train 0.033749 | test 0.033699 | epoch 0.17s | total 21.1s | lr 0.00149
E116/10000 | train 0.033751 | test 0.032573 | epoch 0.17s | total 21.3s | lr 0.00149
E117/10000 | train 0.033174 | test 0.032509 | epoch 0.17s | total 21.4s | lr 0.00149
E118/10000 | train 0.033343 | test 0.033106 | epoch 0.17s | total 21.6s | lr 0.00149
E119/10000 | train 0.033283 | test 0.032492 | epoch 0.17s | total 21.8s | lr 0.00149
E120/10000 | train 0.032840 | test 0.032575 | epoch 0.17s | total 22.0s | lr 0.00149
E121/10000 | train 0.033139 | test 0.032875 | epoch 0.17s | total 22.2s | lr 0.00149
E122/10000 | train 0.035143 | test 0.033566 | epoch 0.17s | total 22.4s | lr 0.00149
E123/10000 | train 0.033605 | test 0.032614 | epoch 0.17s | total 22.5s | lr 0.00149
E124/10000 | train 0.033148 | test 0.032510 | epoch 0.17s | total 22.7s | lr 0.00149
E125/10000 | train 0.033400 | test 0.032714 | epoch 0.17s | total 22.9s | lr 0.00149
E126/10000 | train 0.033215 | test 0.032748 | epoch 0.17s | total 23.1s | lr 0.00149
E127/10000 | train 0.033280 | test 0.033213 | epoch 0.17s | total 23.3s | lr 0.00149
E128/10000 | train 0.033248 | test 0.032680 | epoch 0.17s | total 23.4s | lr 0.00149
E129/10000 | train 0.033017 | test 0.032433 | epoch 0.17s | total 23.6s | lr 0.00149
E130/10000 | train 0.033007 | test 0.032480 | epoch 0.17s | total 23.8s | lr 0.00149
E131/10000 | train 0.032960 | test 0.032370 | epoch 0.17s | total 24.0s | lr 0.00149
E132/10000 | train 0.032984 | test 0.032331 | epoch 0.17s | total 24.2s | lr 0.00149
E133/10000 | train 0.033100 | test 0.032740 | epoch 0.17s | total 24.4s | lr 0.00149
E134/10000 | train 0.033531 | test 0.032725 | epoch 0.17s | total 24.5s | lr 0.00149
E135/10000 | train 0.033147 | test 0.032592 | epoch 0.17s | total 24.7s | lr 0.00149
E136/10000 | train 0.033006 | test 0.032401 | epoch 0.17s | total 24.9s | lr 0.00149
E137/10000 | train 0.032933 | test 0.032596 | epoch 0.17s | total 25.1s | lr 0.00149
E138/10000 | train 0.033106 | test 0.032427 | epoch 0.17s | total 25.2s | lr 0.00149
E139/10000 | train 0.032900 | test 0.032415 | epoch 0.17s | total 25.4s | lr 0.00149
E140/10000 | train 0.033188 | test 0.032784 | epoch 0.17s | total 25.6s | lr 0.00149
E141/10000 | train 0.033081 | test 0.032501 | epoch 0.17s | total 25.8s | lr 0.00149
E142/10000 | train 0.032798 | test 0.032316 | epoch 0.17s | total 26.0s | lr 0.00149
E143/10000 | train 0.032750 | test 0.032627 | epoch 0.17s | total 26.2s | lr 0.00149
E144/10000 | train 0.032819 | test 0.032270 | epoch 0.17s | total 26.3s | lr 0.00149
E145/10000 | train 0.032916 | test 0.033327 | epoch 0.17s | total 26.5s | lr 0.00149
E146/10000 | train 0.033399 | test 0.032905 | epoch 0.17s | total 26.7s | lr 0.00149
E147/10000 | train 0.033434 | test 0.032864 | epoch 0.17s | total 26.9s | lr 0.00149
E148/10000 | train 0.033392 | test 0.032901 | epoch 0.17s | total 27.1s | lr 0.00149
E149/10000 | train 0.033149 | test 0.032779 | epoch 0.17s | total 27.2s | lr 0.00149
E150/10000 | train 0.032893 | test 0.032404 | epoch 0.17s | total 27.4s | lr 0.00149
E151/10000 | train 0.033006 | test 0.032391 | epoch 0.17s | total 27.6s | lr 0.00149
E152/10000 | train 0.032861 | test 0.032373 | epoch 0.17s | total 27.8s | lr 0.00149
E153/10000 | train 0.032598 | test 0.032131 | epoch 0.17s | total 28.0s | lr 0.00149
E154/10000 | train 0.032525 | test 0.032217 | epoch 0.18s | total 28.1s | lr 0.00149
E155/10000 | train 0.032619 | test 0.032386 | epoch 0.17s | total 28.3s | lr 0.00149
E156/10000 | train 0.032439 | test 0.031944 | epoch 0.17s | total 28.5s | lr 0.00149
E157/10000 | train 0.032301 | test 0.031700 | epoch 0.17s | total 28.7s | lr 0.00149
E158/10000 | train 0.032344 | test 0.032014 | epoch 0.17s | total 28.9s | lr 0.00149
E159/10000 | train 0.032767 | test 0.032116 | epoch 0.17s | total 29.1s | lr 0.00149
E160/10000 | train 0.032587 | test 0.032134 | epoch 0.17s | total 29.2s | lr 0.00149
E161/10000 | train 0.032878 | test 0.032255 | epoch 0.17s | total 29.4s | lr 0.00149
E162/10000 | train 0.032681 | test 0.032207 | epoch 0.17s | total 29.6s | lr 0.00149
E163/10000 | train 0.032873 | test 0.032637 | epoch 0.17s | total 29.8s | lr 0.00149
E164/10000 | train 0.032864 | test 0.032324 | epoch 0.17s | total 30.0s | lr 0.00149
E165/10000 | train 0.032916 | test 0.032370 | epoch 0.18s | total 30.2s | lr 0.00148
E166/10000 | train 0.032797 | test 0.032340 | epoch 0.17s | total 30.3s | lr 0.00148
E167/10000 | train 0.032489 | test 0.031931 | epoch 0.17s | total 30.5s | lr 0.00148
E168/10000 | train 0.032297 | test 0.031772 | epoch 0.17s | total 30.7s | lr 0.00148
E169/10000 | train 0.032360 | test 0.031749 | epoch 0.17s | total 30.9s | lr 0.00148
E170/10000 | train 0.032404 | test 0.031854 | epoch 0.17s | total 31.0s | lr 0.00148
E171/10000 | train 0.032552 | test 0.031902 | epoch 0.17s | total 31.2s | lr 0.00148
E172/10000 | train 0.032225 | test 0.031761 | epoch 0.17s | total 31.4s | lr 0.00148
E173/10000 | train 0.032451 | test 0.032067 | epoch 0.17s | total 31.6s | lr 0.00148
E174/10000 | train 0.032353 | test 0.032147 | epoch 0.17s | total 31.8s | lr 0.00148
E175/10000 | train 0.032272 | test 0.031877 | epoch 0.17s | total 31.9s | lr 0.00148
E176/10000 | train 0.032079 | test 0.031622 | epoch 0.17s | total 32.1s | lr 0.00148
E177/10000 | train 0.032219 | test 0.031776 | epoch 0.17s | total 32.3s | lr 0.00148
E178/10000 | train 0.031956 | test 0.031652 | epoch 0.17s | total 32.5s | lr 0.00148
E179/10000 | train 0.032059 | test 0.031623 | epoch 0.17s | total 32.7s | lr 0.00148
E180/10000 | train 0.032028 | test 0.031971 | epoch 0.17s | total 32.8s | lr 0.00148
E181/10000 | train 0.032508 | test 0.032089 | epoch 0.17s | total 33.0s | lr 0.00148
E182/10000 | train 0.032225 | test 0.031958 | epoch 0.17s | total 33.2s | lr 0.00148
E183/10000 | train 0.032375 | test 0.031853 | epoch 0.17s | total 33.4s | lr 0.00148
E184/10000 | train 0.032144 | test 0.031854 | epoch 0.17s | total 33.6s | lr 0.00148
E185/10000 | train 0.031990 | test 0.031717 | epoch 0.17s | total 33.7s | lr 0.00148
E186/10000 | train 0.032065 | test 0.031760 | epoch 0.17s | total 33.9s | lr 0.00148
E187/10000 | train 0.031943 | test 0.031582 | epoch 0.17s | total 34.1s | lr 0.00148
E188/10000 | train 0.032509 | test 0.032189 | epoch 0.17s | total 34.3s | lr 0.00148
E189/10000 | train 0.032459 | test 0.032157 | epoch 0.17s | total 34.5s | lr 0.00148
E190/10000 | train 0.032224 | test 0.031631 | epoch 0.17s | total 34.6s | lr 0.00148
E191/10000 | train 0.032058 | test 0.031658 | epoch 0.17s | total 34.8s | lr 0.00148
E192/10000 | train 0.032364 | test 0.032388 | epoch 0.17s | total 35.0s | lr 0.00148
E193/10000 | train 0.032554 | test 0.031769 | epoch 0.17s | total 35.2s | lr 0.00148
E194/10000 | train 0.032053 | test 0.032006 | epoch 0.17s | total 35.3s | lr 0.00148
